lat_grid,lon_grid_abs,time_windows,avg_crimes
41.95,87.73,1335,1.7790262172284643
41.87,87.71,1908,4.7583857442348005
41.65,87.6,866,1.426096997690531
41.9,87.75,1837,3.269461077844311
41.83,87.61,1814,3.12954796030871
41.79,87.8,591,1.2148900169204737
41.75,87.68,1208,1.6423841059602649
41.76,87.68,1485,2.0835016835016833
41.81,87.67,1830,3.2983606557377048
41.69,87.71,472,1.2394067796610169
41.69,87.72,245,1.089795918367347
41.9,87.63,1997,8.678517776664998
41.88,87.65,1874,4.1200640341515475
41.87,87.61,219,1.1689497716894977
41.9,87.77,1774,2.935738444193912
41.74,87.61,1677,2.424567680381634
41.9,87.66,1538,2.215214564369311
41.76,87.6,1453,2.012388162422574
41.97,87.78,968,1.459710743801653
41.92,87.72,1640,2.379878048780488
41.74,87.6,1811,2.9331860850358917
41.94,87.65,1929,5.585277345775013
41.96,87.67,1304,1.7653374233128833
41.74,87.74,623,1.2070626003210272
41.97,87.76,1314,1.660578386605784
41.8,87.69,1337,1.8055347793567689
41.71,87.66,924,1.4166666666666667
41.71,87.61,1391,1.884255930984903
41.9,87.65,1218,1.6666666666666667
42.0,87.76,356,1.095505617977528
41.77,87.65,1841,3.1276480173818575
41.8,87.71,900,1.4466666666666668
41.97,87.74,1103,1.5593834995466909
41.81,87.72,1309,1.8472116119174942
41.94,87.81,968,1.493801652892562
41.89,87.76,1858,3.6964477933261572
41.78,87.78,889,1.4004499437570304
41.94,87.75,1582,2.2579013906447534
41.8,87.74,1261,1.7406819984139572
41.96,87.71,1670,2.4568862275449104
41.97,87.85,301,1.1029900332225913
41.96,87.77,1154,1.5649913344887347
41.66,87.64,1167,1.5826906598114825
41.78,87.67,1723,2.770748694138131
41.75,87.58,1817,2.970280682443588
41.78,87.61,1922,4.158688865764828
41.89,87.66,1697,2.774896876841485
41.87,87.75,1479,2.1480730223123734
41.98,87.81,832,1.3473557692307692
41.95,87.65,1952,4.849385245901639
41.78,87.59,1694,2.550177095631641
41.94,87.7,1086,1.5386740331491713
41.76,87.57,1781,2.9674340258281866
41.81,87.75,949,1.452054794520548
41.71,87.53,563,1.241563055062167
41.89,87.61,882,1.616780045351474
41.98,87.8,589,1.2003395585738539
41.68,87.67,820,1.3329268292682928
41.74,87.56,1764,2.7868480725623583
41.9,87.74,992,1.438508064516129
41.79,87.63,1680,2.3726190476190476
41.91,87.63,1692,2.9379432624113475
41.88,87.63,2005,15.432917705735662
41.89,87.77,1863,3.607085346215781
41.77,87.71,779,1.3170731707317074
41.91,87.75,1791,3.203796761585706
41.92,87.76,1424,1.9304775280898876
41.98,87.67,1444,2.1426592797783934
41.71,87.6,1003,1.5044865403788634
41.99,87.68,1175,1.6808510638297873
41.7,87.55,39,1.0
41.89,87.71,1911,4.379382522239665
41.7,87.62,1756,2.7391799544419135
41.87,87.77,1217,1.6433853738701725
41.78,87.75,434,1.1774193548387097
41.98,87.75,560,1.2339285714285715
41.99,87.71,1252,1.8482428115015974
41.81,87.74,1066,1.5393996247654784
41.77,87.6,1387,1.7995674116798845
41.82,87.74,89,1.0561797752808988
41.98,87.66,1872,3.988782051282051
41.78,87.64,1787,2.9675433687744825
41.76,87.7,985,1.4243654822335026
41.79,87.68,1222,1.6472995090016367
41.85,87.72,1831,3.2424904423812126
41.85,87.71,1881,3.8894205209994683
41.72,87.64,1547,2.151906916612799
41.65,87.54,801,1.3295880149812733
41.74,87.67,1431,1.8846960167714886
41.71,87.59,189,1.1375661375661377
41.9,87.69,1803,2.9339988907376595
41.76,87.66,1793,3.117122141662019
42.01,87.68,1517,2.2083058668424522
41.74,87.57,1193,1.7267393126571668
41.9,87.62,1828,4.799234135667396
41.78,87.77,1139,1.5996488147497805
41.76,87.71,846,1.339243498817967
41.99,87.82,296,1.1114864864864864
41.96,87.89,36,1.0555555555555556
41.83,87.65,1223,1.6475878986099755
41.77,87.64,1814,3.237045203969129
41.85,87.66,776,1.3518041237113403
41.94,87.64,1772,3.0914221218961626
41.89,87.63,2011,15.328194927896568
41.96,87.66,1552,2.618556701030928
41.89,87.73,1137,1.7194371152154793
41.95,87.9,12,1.0
41.78,87.68,1671,2.570915619389587
41.79,87.71,1372,1.8418367346938775
42.0,87.73,160,1.09375
41.73,87.57,1403,1.8153955808980755
41.84,87.71,1601,2.349156777014366
41.69,87.62,1793,3.406581148912437
41.72,87.68,696,1.3175287356321839
41.78,87.79,660,1.3045454545454545
41.72,87.63,1668,2.4646282973621103
42.01,87.7,960,1.421875
41.96,87.8,113,1.0353982300884956
41.66,87.6,1570,2.1082802547770703
41.98,87.76,645,1.2651162790697674
41.72,87.65,1309,1.8143621084797554
41.95,87.78,1155,1.587012987012987
41.85,87.7,1779,3.0376616076447442
41.96,87.88,50,1.1
42.01,87.9,15,1.0666666666666667
41.7,87.7,502,1.1733067729083666
41.71,87.71,120,1.0333333333333334
41.8,87.8,188,1.0638297872340425
41.78,87.8,292,1.0650684931506849
41.99,87.81,609,1.2676518883415435
41.99,87.83,90,1.0
41.91,87.81,89,1.0224719101123596
41.68,87.73,22,1.0454545454545454
41.68,87.55,9,1.0
41.97,87.9,35,1.0571428571428572
41.96,87.85,12,1.0
41.91,87.62,3,1.0
41.98,87.77,1083,1.494921514312096
41.93,87.8,1046,1.5812619502868068
42.02,87.69,1052,1.546577946768061
41.71,87.7,248,1.1048387096774193
41.75,87.65,1896,3.8164556962025316
41.74,87.69,763,1.2883355176933158
41.83,87.64,1135,1.6088105726872246
41.87,87.69,1764,2.7086167800453516
41.76,87.55,1009,1.4846382556987117
41.8,87.68,1378,1.7496371552975327
41.8,87.64,631,1.2503961965134707
41.73,87.72,50,1.0
41.95,87.8,896,1.4486607142857142
41.95,87.76,1181,1.6265876375952582
41.97,87.71,1705,2.453958944281525
41.94,87.8,828,1.3985507246376812
41.87,87.7,1920,4.725520833333333
41.91,87.77,1656,2.5543478260869565
41.67,87.63,1286,1.7223950233281493
42.0,87.68,1451,1.954514128187457
41.84,87.73,1643,2.4735240413877055
41.91,87.7,1406,2.0007112375533427
41.75,87.6,1997,6.130195292939409
41.75,87.61,1976,5.556174089068826
41.78,87.74,1034,1.4593810444874276
42.0,87.72,288,1.1145833333333333
41.8,87.66,1604,2.3354114713216956
41.87,87.72,1958,5.851378958120531
41.87,87.67,1405,2.112455516014235
41.89,87.65,1812,4.175496688741722
41.84,87.65,1586,2.2761664564943254
41.81,87.71,1113,1.5345911949685536
41.76,87.59,1855,3.547169811320755
42.0,87.71,823,1.3547995139732685
41.97,87.72,1687,2.3479549496147007
41.7,87.59,168,1.0714285714285714
42.02,87.81,211,1.061611374407583
41.93,87.73,1224,1.647875816993464
41.87,87.62,1557,2.439306358381503
41.99,87.89,128,1.046875
41.81,87.68,1254,1.7551834130781498
41.78,87.66,1821,3.352553542009885
41.85,87.69,1690,2.6414201183431953
41.76,87.65,1857,3.525578890683899
41.98,87.65,868,1.3513824884792627
41.86,87.73,1803,3.1447587354409317
41.92,87.64,1643,2.623858794887401
41.72,87.67,656,1.3018292682926829
41.76,87.74,218,1.128440366972477
41.92,87.79,1209,1.7576509511993383
41.78,87.71,1457,1.9210706932052162
41.96,87.72,1514,2.0535006605019817
41.79,87.69,1634,2.2588739290085678
41.97,87.81,400,1.16
41.98,87.71,1312,1.7766768292682926
41.86,87.68,930,1.4
41.79,87.76,405,1.1777777777777778
41.92,87.7,1707,2.642647920328061
41.71,87.58,545,1.2220183486238532
41.73,87.56,1415,1.919434628975265
41.71,87.54,1015,1.5024630541871922
41.95,87.68,1105,1.607239819004525
41.8,87.58,1173,1.6359761295822677
41.84,87.62,1681,2.7180249851279
41.85,87.61,100,1.05
41.73,87.6,1680,2.4232142857142858
41.78,87.7,1924,3.8196465696465696
41.82,87.7,1462,2.063611491108071
41.93,87.67,1482,2.230769230769231
41.99,87.7,1557,2.3057161207450223
41.73,87.61,1474,1.991180461329715
41.77,87.61,1860,3.5451612903225804
41.88,87.77,1869,3.5066880684858215
41.78,87.63,1573,2.05276541640178
41.92,87.78,1333,1.7974493623405852
41.65,87.55,788,1.348984771573604
41.98,87.72,389,1.1439588688946016
41.7,87.56,1164,1.6486254295532645
41.85,87.74,191,1.0628272251308901
41.91,87.64,1780,3.298314606741573
41.75,87.66,1949,4.402257567983582
41.75,87.56,1960,4.475510204081632
41.66,87.54,262,1.083969465648855
41.92,87.77,1657,2.2619191309595656
41.8,87.59,1873,4.517885744794447
41.93,87.66,1414,1.9207920792079207
41.84,87.72,1667,2.443911217756449
41.93,87.64,1833,3.685215493726132
41.67,87.65,601,1.2179700499168054
41.67,87.66,405,1.1506172839506172
41.88,87.72,1884,4.357218683651805
41.94,87.66,1505,2.207308970099668
41.69,87.68,946,1.4429175475687104
41.79,87.75,594,1.292929292929293
41.98,87.78,639,1.270735524256651
41.86,87.63,1612,2.3616625310173696
41.78,87.76,901,1.367369589345172
41.7,87.71,351,1.1111111111111112
41.77,87.72,1165,1.6180257510729614
41.84,87.74,224,1.0848214285714286
41.77,87.7,1341,1.750186428038777
41.66,87.61,1263,1.7624703087885987
41.95,87.81,939,1.402555910543131
41.92,87.71,1610,2.4217391304347826
41.92,87.63,394,1.2461928934010151
41.97,87.69,1554,2.2516087516087517
41.7,87.66,822,1.3503649635036497
41.69,87.53,467,1.1862955032119915
41.91,87.67,1758,3.3629124004550626
41.86,87.69,1317,1.615793470007593
41.8,87.77,411,1.1362530413625305
41.83,87.66,423,1.1442080378250592
42.01,87.82,259,1.1196911196911197
41.82,87.68,572,1.2185314685314685
42.0,87.74,106,1.0660377358490567
41.81,87.58,80,1.05
41.99,87.65,60,1.0166666666666666
41.95,87.92,166,1.2108433734939759
42.02,87.82,72,1.0138888888888888
41.83,87.74,25,1.04
41.77,87.76,62,1.032258064516129
41.66,87.57,17,1.1764705882352942
41.94,87.84,44,1.0454545454545454
41.7,87.52,48,1.0208333333333333
41.99,87.93,9,1.0
41.69,87.58,12,1.0833333333333333
41.68,87.58,7,1.0
42.01,87.93,32,1.0
41.7,87.58,6,1.0
41.97,87.92,2,1.0
42.0,87.91,8,1.0
41.65,87.58,3,1.0
41.77,87.75,3,1.0
41.95,87.89,7,1.0
41.87,87.74,1731,2.9820912767186596
41.92,87.65,1548,2.3843669250645996
41.92,87.67,1200,1.7733333333333334
41.73,87.66,1749,2.692395654659806
41.95,87.77,1370,1.7547445255474452
41.88,87.62,1666,4.333733493397359
41.81,87.62,1906,3.9664218258132213
41.88,87.73,1969,6.1940071102082275
41.96,87.93,5,1.0
41.82,87.65,342,1.0935672514619883
41.82,87.66,183,1.1147540983606556
41.68,87.66,1416,2.0769774011299433
41.8,87.72,1359,1.8918322295805738
41.93,87.71,1743,2.7728055077452667
41.88,87.7,1877,3.6228023441662227
41.96,87.68,1325,1.7766037735849056
41.81,87.61,1831,3.2648825778263246
41.9,87.71,1812,3.477924944812362
42.01,87.67,1831,3.2075368651010376
41.98,87.85,546,1.1684981684981686
41.98,87.88,488,1.1905737704918034
41.78,87.62,1946,4.773381294964029
41.98,87.79,813,1.3800738007380073
41.83,87.67,1430,1.9216783216783218
41.84,87.67,745,1.3248322147651006
41.99,87.75,461,1.2364425162689805
41.69,87.63,1581,2.2270714737507906
41.95,87.66,1672,3.3947368421052633
41.82,87.6,1533,2.1343770384866274
41.75,87.54,44,1.0
41.92,87.74,1408,1.9197443181818181
41.91,87.68,1835,3.519891008174387
41.8,87.75,834,1.4028776978417266
41.95,87.84,196,1.0612244897959184
41.96,87.75,1287,1.6332556332556332
41.82,87.63,1566,2.108556832694764
41.95,87.79,787,1.377382465057179
41.72,87.56,906,1.3719646799116998
41.99,87.66,1875,4.0144
41.76,87.62,1829,2.9814106068890105
41.79,87.66,1818,3.116061606160616
41.77,87.68,1724,2.6160092807424595
41.73,87.65,1295,1.7428571428571429
41.93,87.69,1312,1.8551829268292683
41.91,87.66,1062,1.71939736346516
41.95,87.75,1502,2.129161118508655
42.0,87.69,1632,2.403186274509804
41.97,87.66,1916,4.303235908141962
41.7,87.54,1232,1.7077922077922079
41.77,87.73,791,1.3527180783817951
41.75,87.73,852,1.3661971830985915
41.68,87.65,1209,1.7088502894954507
41.75,87.62,1686,2.5160142348754446
41.89,87.7,1247,1.7161186848436247
41.95,87.7,1237,1.68714632174616
41.7,87.68,637,1.227629513343799
41.98,87.73,491,1.1914460285132382
41.85,87.63,1761,3.0295286768881318
42.02,87.66,564,1.2429078014184398
41.79,87.7,1699,2.6009417304296645
41.89,87.68,1326,1.8009049773755657
41.68,87.64,1675,2.5564179104477613
41.98,87.7,1262,1.7345483359746434
41.94,87.74,1206,1.6633499170812605
41.79,87.6,825,1.4036363636363636
